,ticker,recommendation date,recommendation,subsector,averageVolume10days,price_0406,price_0405,price_0204,price_1403,price_2412,free_cash_flow,short_term_debt,long_term_debt,ebitda,market_cap,sector,debt/ebitda,debt/cash,up,text,size,color
2,JOBS,2019-05-13 11:45:39,Neutral,Staffing & Employment Services,267862,70.57,56.59,63.86,64.97,85.71,246.87,249.66,0.0,230.15,4780.0,Industrials,1.084770801651097,1.011301494713817,0.21453875584526005,Ticker:JOBS<br>Subsector:Staffing & Employment Services<br>YF Recomm:Neutral<br>YF Recomm Date:2019-05-13 11:45:39<br>averageVolume10days:267862<br>Down:0.21453875584526005,4.290775116905201,
4,AIR,2020-03-25 12:04:09,Buy,Aerospace & Defense,649962,27.5,17.97,16.49,18.93,47.72,50.0,9.5,141.7,50.3,880.0,Industrials,3.0059642147117294,3.0239999999999996,0.7352727272727273,Ticker:AIR<br>Subsector:Aerospace & Defense<br>YF Recomm:Buy<br>YF Recomm Date:2020-03-25 12:04:09<br>averageVolume10days:649962<br>Down:0.7352727272727273,14.705454545454547,#09f349
12,AYI,2020-04-03 21:01:41,Overweight,Electrical Equipment & Parts,992800,105.97,82.16,80.59,95.53,136.7,441.7,9.1,347.5,551.2,3830.0,Industrials,0.6469521044992743,0.8073352954494001,0.28998773237708786,Ticker:AYI<br>Subsector:Electrical Equipment & Parts<br>YF Recomm:Overweight<br>YF Recomm Date:2020-04-03 21:01:41<br>averageVolume10days:992800<br>Down:0.28998773237708786,5.799754647541757,
16,AAP,2020-05-21 11:54:40,Overweight,Specialty Retail,804125,145.07,120.11,89.17,113.37,159.52,596.78,519.85,747.32,915.55,9830.0,Consumer Cyclical,1.3840533012943042,2.1233452863701867,0.09960708623423198,Ticker:AAP<br>Subsector:Specialty Retail<br>YF Recomm:Overweight<br>YF Recomm Date:2020-05-21 11:54:40<br>averageVolume10days:804125<br>Down:0.09960708623423198,1.9921417246846396,
18,ASIX,2020-03-25 16:05:29,Buy,Chemicals,280950,14.84,11.45,10.0,10.7,20.52,-29.94,38.01,98.35,110.17,370.0,Basic Materials,1.2377235181991466,-4.55444221776887,0.38274932614555257,Ticker:ASIX<br>Subsector:Chemicals<br>YF Recomm:Buy<br>YF Recomm Date:2020-03-25 16:05:29<br>averageVolume10days:280950<br>Down:0.38274932614555257,7.654986522911051,#09f349
20,AERI,2020-06-01 15:38:00,Outperform,Drug Manufacturers—Specialty & Generic,1117887,15.1,15.42,13.29,14.67,24.11,-168.22,5.5,12.1,-169.42,710.0,Healthcare,-0.1038838389800496,-0.10462489596956367,0.5966887417218543,Ticker:AERI<br>Subsector:Drug Manufacturers—Specialty & Generic<br>YF Recomm:Outperform<br>YF Recomm Date:2020-06-01 15:38:00<br>averageVolume10days:1117887<br>Down:0.5966887417218543,11.933774834437084,
24,AFL,2020-05-01 16:55:12,Hold,Insurance—Life,5749737,41.62,35.46,31.64,34.41,51.84,6014.0,0.0,5765.0,4165.0,27420.0,Financial Services,1.3841536614645857,0.9585966079148653,0.24555502162421927,Ticker:AFL<br>Subsector:Insurance—Life<br>YF Recomm:Hold<br>YF Recomm Date:2020-05-01 16:55:12<br>averageVolume10days:5749737<br>Down:0.24555502162421927,4.911100432484385,
25,AGCO,2020-05-06 14:34:12,Neutral,Farm & Heavy Construction Machinery,667975,63.13,49.47,44.52,55.14,77.32,422.5,2.9,1191.8,620.1,4450.0,Industrials,1.9266247379454926,2.827692307692308,0.22477427530492622,Ticker:AGCO<br>Subsector:Farm & Heavy Construction Machinery<br>YF Recomm:Neutral<br>YF Recomm Date:2020-05-06 14:34:12<br>averageVolume10days:667975<br>Down:0.22477427530492622,4.495485506098524,
28,AIMT,2020-05-13 12:14:07,Neutral,Biotechnology,1024237,18.39,16.54,13.61,14.98,32.08,-203.45,2.26,41.03,-244.07,1120.0,Healthcare,-0.17736714876879583,-0.21277955271565496,0.7444263186514408,Ticker:AIMT<br>Subsector:Biotechnology<br>YF Recomm:Neutral<br>YF Recomm Date:2020-05-13 12:14:07<br>averageVolume10days:1024237<br>Down:0.7444263186514408,14.888526373028817,
32,ALK,2020-05-06 13:35:46,Neutral,Airlines,4320637,47.84,28.77,26.35,37.95,68.9,1026.0,269.0,1264.0,1486.0,4820.0,Industrials,1.031628532974428,1.4941520467836258,0.4402173913043479,Ticker:ALK<br>Subsector:Airlines<br>YF Recomm:Neutral<br>YF Recomm Date:2020-05-06 13:35:46<br>averageVolume10days:4320637<br>Down:0.4402173913043479,8.804347826086957,
